content,mediaUrls,platform,accountId,scheduledFor,timezone
"Detrás de BM Digitaliza no hay una startup de veinte personas. Hay dos perfiles muy concretos.

Un perfil técnico, especializado en datos e inteligencia artificial. Y un perfil comercial con años de experiencia real en el terreno de la prevención de riesgos laborales — justo el terreno donde viven las PYMEs de nuestros sectores.

No somos genéricos. Conocemos vuestro día a día.

Si quieres saber cuándo abrimos el diagnóstico gratuito, apúntate a la lista de espera (enlace en bio).

#PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/01_2026-09-08_reel_detras-marca/reel_video.mp4,instagram,6a894a4977555aae014ba7b2,2026-09-08T11:45:00,Europe/Madrid
"'Dashboard'. Otra palabra rara que te venden sin explicarte qué es.

Es simplemente tus números de siempre — ventas, margen, stock — actualizados solos, cada día, en una pantalla. No hace falta programar nada: se conecta a lo que ya usas (Excel, ERP, TPV). Y ya no es cosa de empresas grandes.

Guarda este post si quieres tenerlo a mano para cuando decidas dar el paso.

#DashboardEmpresarial #PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/02_2026-09-09_carrusel_que-es-un-dashboard/lamina_01.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/02_2026-09-09_carrusel_que-es-un-dashboard/lamina_02.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/02_2026-09-09_carrusel_que-es-un-dashboard/lamina_03.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/02_2026-09-09_carrusel_que-es-un-dashboard/lamina_04.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/02_2026-09-09_carrusel_que-es-un-dashboard/lamina_05.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/02_2026-09-09_carrusel_que-es-un-dashboard/lamina_06.png,instagram,6a894a4977555aae014ba7b2,2026-09-09T12:20:00,Europe/Madrid
"Hay una ayuda pública de hasta 12.000 € para digitalizar tu PYME. Y la mayoría de dueños de negocio no sabe que existe.

Es el Kit Digital: fondos europeos gestionados por Red.es, pensados para dashboards, automatización y digitalización de procesos. El importe depende del tamaño de tu empresa.

Apúntate a la lista de espera (enlace en bio) para que te avisemos en cuanto puedas solicitarlo con nosotros.

#KitDigital #PYME #AyudasPúblicas #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/03_2026-09-10_reel_que-es-kit-digital/reel_video.mp4,instagram,6a894a4977555aae014ba7b2,2026-09-10T12:05:00,Europe/Madrid
"En construcción, el margen real de una obra se sabe... cuando ya no puedes hacer nada al respecto.

Presupuestos, partes de obra y certificaciones dispersos en carpetas distintas. Cruzar esos datos permite ver la desviación de presupuesto cada semana, no al cierre.

Cuéntanos en comentarios: ¿con qué controlas hoy el margen de tus obras?

#Construcción #PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/04_2026-09-15_carrusel_construccion/lamina_01.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/04_2026-09-15_carrusel_construccion/lamina_02.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/04_2026-09-15_carrusel_construccion/lamina_03.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/04_2026-09-15_carrusel_construccion/lamina_04.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/04_2026-09-15_carrusel_construccion/lamina_05.png,instagram,6a894a4977555aae014ba7b2,2026-09-15T11:45:00,Europe/Madrid
"Automatizar no es programar. Es dejar de hacer tres veces la misma tarea.

Validar una factura o un expediente a mano, tres veces, en tres sitios distintos. Automatizar es, simplemente, que ese cruce lo haga el sistema una vez — y avise si algo falla.

Guarda este Reel y compártelo con quien en tu empresa se pasa el día validando papeles.

#Automatización #Administración #PYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/05_2026-09-16_reel_automatizar-no-es-programar/reel_video.mp4,instagram,6a894a4977555aae014ba7b2,2026-09-16T12:20:00,Europe/Madrid
"Rigor y confianza: lo que se compromete, se cumple.

En la práctica significa esto: precio cerrado desde el primer día, sin sorpresas al final. Sabes lo que inviertes y lo que recibes antes de empezar.

Síguenos para más contenido práctico sobre digitalización de PYMEs.

#RigorYConfianza #PYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/06_2026-09-17_estatica_valor-rigor-confianza/imagen.png,instagram,6a894a4977555aae014ba7b2,2026-09-17T12:05:00,Europe/Madrid
"¿Sabes cuánto te cuesta REALMENTE cada ruta? La mayoría de empresas de transporte no lo sabe hasta que cierran el mes.

Combustible, peajes, tiempos de carga, mantenimiento: cruzarlos a diario, en vez de a mes vencido, cambia la capacidad de reacción.

Comenta qué es lo más difícil de controlar en tus rutas: ¿combustible, tiempos, mantenimiento?

#Transporte #PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/07_2026-09-22_carrusel_transporte/lamina_01.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/07_2026-09-22_carrusel_transporte/lamina_02.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/07_2026-09-22_carrusel_transporte/lamina_03.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/07_2026-09-22_carrusel_transporte/lamina_04.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/07_2026-09-22_carrusel_transporte/lamina_05.png,instagram,6a894a4977555aae014ba7b2,2026-09-22T11:45:00,Europe/Madrid
"El importe del Kit Digital no es el mismo para todos. Depende de cuántos empleados tengas.

0-2 empleados: hasta 2.000 €. 3-9 empleados: hasta 6.000 €. 10-49 empleados: hasta 12.000 €. El importe máximo de ayuda crece con el tamaño de tu empresa.

Apúntate a la lista de espera (enlace en bio) si quieres saber en qué tramo entra tu empresa.

#KitDigital #PYME #AyudasPúblicas #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/08_2026-09-23_reel_tramos-kit-digital/reel_video.mp4,instagram,6a894a4977555aae014ba7b2,2026-09-23T12:20:00,Europe/Madrid
"Cuando te enteras de que te falta stock, ya es tarde para evitar el problema.

Pedidos, proveedores y almacén en sistemas o Excels separados que no se hablan entre sí. Un panel que los cruce permite ver el stock real disponible en cualquier momento, no tras un recuento manual.

Guarda este post si te ha pasado más de una vez este mes.

#GestiónLogística #PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/09_2026-09-24_carrusel_gestion-logistica/lamina_01.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/09_2026-09-24_carrusel_gestion-logistica/lamina_02.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/09_2026-09-24_carrusel_gestion-logistica/lamina_03.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/09_2026-09-24_carrusel_gestion-logistica/lamina_04.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/09_2026-09-24_carrusel_gestion-logistica/lamina_05.png,instagram,6a894a4977555aae014ba7b2,2026-09-24T12:05:00,Europe/Madrid
"'Eso de la IA es para las grandes.' Es la frase que más veces vamos a desmontar en esta cuenta.

El coste y la complejidad de aplicar IA a una tarea concreta —no a toda la empresa— ha bajado mucho. El punto de entrada real para una PYME es un problema pequeño y concreto, no una transformación completa.

Cuéntanos en comentarios cuál es la tarea repetitiva que más tiempo te quita cada semana.

#PYME #InteligenciaArtificial #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/10_2026-09-29_reel_ia-no-es-solo-grandes/reel_video.mp4,instagram,6a894a4977555aae014ba7b2,2026-09-29T11:45:00,Europe/Madrid
"Seguimos anotando la siembra, el riego y la cosecha igual que hace 40 años. En papel.

Decisiones de siembra, riego o reparto basadas solo en la experiencia, sin datos que las respalden. Digitalizar ese registro permite, con el tiempo, anticipar resultados en vez de solo reaccionar campaña a campaña.

Etiqueta a alguien del sector agrícola que todavía lleve el cuaderno de campo en papel.

#Agrícola #PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/11_2026-09-30_carrusel_agricola/lamina_01.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/11_2026-09-30_carrusel_agricola/lamina_02.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/11_2026-09-30_carrusel_agricola/lamina_03.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/11_2026-09-30_carrusel_agricola/lamina_04.png;https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/11_2026-09-30_carrusel_agricola/lamina_05.png,instagram,6a894a4977555aae014ba7b2,2026-09-30T12:20:00,Europe/Madrid
"Cómo trabajamos, en 3 pasos.

1. Diagnóstico (1-2 semanas): revisamos tus datos y procesos actuales.
2. Dashboard o automatización (3-6 semanas): construimos la solución concreta.
3. Resultado medible: horas ahorradas, errores evitados.

Apúntate a la lista de espera (enlace en bio) para ser de los primeros en pasar por este proceso.

#PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/12_2026-10-01_estatica_metodo-3-pasos/imagen.png,instagram,6a894a4977555aae014ba7b2,2026-10-01T12:05:00,Europe/Madrid
"Esto es lo que buscamos conseguir en nuestro primer proyecto piloto. Todavía no ha pasado — pero es exactamente hacia dónde vamos.

ANTES: partes en papel, cierre manual, coste conocido semanas después.
DESPUÉS: panel diario, alertas automáticas, horas administrativas liberadas.

Ejemplo ilustrativo del tipo de resultado que perseguimos — no es un caso ya verificado.

Apúntate a la lista de espera (enlace en bio) para ser el primero en ver el caso real cuando lo tengamos.

#Transporte #PYME #DigitalizaciónPYME #BMDigitaliza",https://raw.githubusercontent.com/bmdigitalizaadmin-sketch/bm-digitaliza-instagram/main/02_Calendario_30_Dias/13_2026-10-06_reel_ilustrativo-transporte/reel_video.mp4,instagram,6a894a4977555aae014ba7b2,2026-10-06T11:45:00,Europe/Madrid
